Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11,Q12,Q13,Q14,Q15
1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,2,1
0,0,-1,1,1,1,1,1,-1,1,-1,1,2,2,2,2,-1,-1,1,-1,1
1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,-1,2,1,1,1,0,1
1,-1,-1,1,1,1,1,1,1,1,-1,-1,2,1,2,2,1,1,-1,-1,1
1,-1,1,1,1,-1,1,1,1,1,1,-1,2,-1,-1,-1,-1,1,1,-1,1
-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,2,2,-1,1,1,2,1
0,-1,-1,1,1,0,1,1,1,1,1,1,2,-1,-1,2,1,1,-1,2,1
1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1
1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,0
-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-2,-1,1,1,-1,-1,-1,0
1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,2,-1,1,1,1,2
1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
-1,-1,1,1,1,1,1,1,-1,1,-1,-1,2,-1,-1,2,1,1,1,1,1
1,-1,0,1,0,1,1,1,1,1,-1,-1,-1,2,-1,-1,-1,1,1,1,1
1,-1,1,1,1,1,1,1,1,1,-1,-1,2,-1,-1,-1,-1,1,1,-1,-1
1,-1,1,1,1,1,1,1,-1,1,-1,-1,2,-1,-1,-1,1,1,1,1,2
-1,-1,1,1,1,1,1,1,-1,1,-1,-1,2,-1,-1,-1,-1,1,1,0,2
